dataset,model,scenario,region,variable,unit,year,occurrences,duplicate_values
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[7.14285700377337, 288.836319101676]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[9.14718059298404, 369.885323371319]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[9.2440301695177, 373.801637974532]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[38.2595591839947, 1547.10506444689]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[14.245490654008, 576.046123018758]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[26.896882395722, 1087.63153208681]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[10.7687543131955, 478.492380029531]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[369.242446829995, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[12.6382634765138, 579.236468059524]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[433.344767094548, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[5.53222099349284, 198.993448711504]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[189.690539558367, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[20.6218306688475, 1121.58084737905]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[707.087838836538, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[12.3044225544927, 595.297223968885]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[421.897924190163, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[7.70695614265902, 370.574053665648]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[264.258544764071, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[12.78133815738, 618.132806212695]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[438.250556910713, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKE1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[10.8355224975997, 371.878533255809]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKE1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[371.531815410872, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKE2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[6.09498140489988, 327.866925625846]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKE2,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[208.986646168615, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKE3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[11.4459744692955, 558.084806805338]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKE3,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[392.463185293175, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKE4,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[19.6489228389574, 923.995725377559]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKE4,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[673.728468086618, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKF1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[22.7393359456672, 878.646886373483]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKF1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[779.693528115776, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKF2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[18.5234020161433, 730.429486914406]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKF2,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[635.136254866122, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKF3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[5.68483398641678, 300.625829028245]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKF3,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[194.923382028943, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKG1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[13.9927037887138, 536.966696159107]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKG1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[479.786244020907, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKG2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[16.5203564840166, 646.998311412009]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKG2,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[566.455197439817, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKG3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[23.7122437755573, 1161.81801161433]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKG3,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[813.052898865696, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKH1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[21.241820952601, 1002.15586072338]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKH1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[728.346261373252, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKH2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[15.3280674767983, 742.82124419694]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKH2,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[525.573615638444, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKH3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[15.0991479874124, 730.503777546303]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKH3,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[517.724351932581, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[4.32085536215907, 468.75072136326]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI3,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[148.154852448173, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI4,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[9.92938285211388, 959.760673455147]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI4,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[340.461813241829, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI5,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[12.6191868523983, 768.511024588727]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI5,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[432.690661785725, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI6,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[7.4017301568111, 522.776786055108]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI6,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[253.792859822918, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI7,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[12.3711907388969, 834.896893603153]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKI7,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[424.18729277104, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKJ1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[18.8858578743376, 959.590124531388]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKJ1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[647.564255733739, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKJ2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[18.3421740870461, 1155.40585137537]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKJ2,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[628.922254432315, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKJ3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[18.4757104558546, 792.862375370402]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKJ3,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[633.500991594069, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKJ4,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[14.6794622568715, 735.142947919762]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKJ4,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[503.334035138498, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKK1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[22.6630294492052, 996.941137658738]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKK1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[777.077106880488, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKK2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[10.9118289940617, 531.165236867283]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKK2,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[374.14823664616, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKK3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[4.72146446858438, 225.503221938134]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKK3,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[161.891063933433, 0.0]"
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKK4,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[8.48909773139421, 474.431558231254]"
