dataset,model,scenario,region,variable,unit,year,value
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Transportation|Liquids|Biomass,GWh,2023,7.14285700377337
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Transportation|Liquids|Biomass,GWh,2023,288.836319101676
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Transportation|Liquids|Biomass,GWh,2023,9.14718059298404
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Transportation|Liquids|Biomass,GWh,2023,369.885323371319
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Transportation|Liquids|Biomass,GWh,2023,9.2440301695177
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Transportation|Liquids|Biomass,GWh,2023,373.801637974532
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Transportation|Liquids|Biomass,GWh,2023,38.2595591839947
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Transportation|Liquids|Biomass,GWh,2023,1547.10506444689
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Transportation|Liquids|Biomass,GWh,2023,14.245490654008
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Transportation|Liquids|Biomass,GWh,2023,576.046123018758
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Transportation|Liquids|Biomass,GWh,2023,26.896882395722
E3M shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Transportation|Liquids|Biomass,GWh,2023,1087.63153208681
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,10.7687543131955
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,478.492380029531
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Transportation|Solids|Biomass,GWh,2023,369.242446829995
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Transportation|Solids|Biomass,GWh,2023,0.0
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,12.6382634765138
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,579.236468059524
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Transportation|Solids|Biomass,GWh,2023,433.344767094548
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Transportation|Solids|Biomass,GWh,2023,0.0
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,5.53222099349284
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,198.993448711504
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Transportation|Solids|Biomass,GWh,2023,189.690539558367
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Transportation|Solids|Biomass,GWh,2023,0.0
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,20.6218306688475
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,1121.58084737905
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Transportation|Solids|Biomass,GWh,2023,707.087838836538
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Transportation|Solids|Biomass,GWh,2023,0.0
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Transportation|Liquids|Biomass,GWh,2023,12.3044225544927
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Transportation|Liquids|Biomass,GWh,2023,595.297223968885
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Transportation|Solids|Biomass,GWh,2023,421.897924190163
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Transportation|Solids|Biomass,GWh,2023,0.0
E3M shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Transportation|Liquids|Biomass,GWh,2023,7.70695614265902
